Country,Quantity
Australia,84199
Austria,4881
Bahrain,314
Belgium,23237
Brazil,356
Canada,2763
Channel Islands,9485
Cyprus,6340
Czech Republic,671
Denmark,8235
EIRE,147281
European Community,499
Finland,10704
France,112061
Germany,119156
Greece,1557
Hong Kong,4713
Iceland,2458
Israel,4406
Italy,8112
Japan,26016
Lebanon,386
Lithuania,652
Malta,970
Netherlands,200937
Norway,19338
Poland,3684
Portugal,16231
RSA,352
Saudi Arabia,80
Singapore,5241
Spain,27944
Sweden,36078
Switzerland,30618
USA,2458
United Arab Emirates,982
Unspecified,3295
